,Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Cluster
0,1177.698,2,7,2,2,2,1
1,2134.8,5,7,4,2,2,0
2,1138.56,5,7,2,2,1,1
3,1458.78,2,7,3,2,2,0
4,967.776,11,14,3,2,2,1
5,1127.886,11,12,4,2,2,1
6,1352.04,5,7,3,2,1,0
7,757.854,5,14,1,0,1,1
8,1152.792,10,12,3,2,2,1
9,1423.2,4,5,4,2,2,0
10,668.904,4,11,1,1,1,1
11,711.6,4,7,2,1,1,1
12,1352.04,9,19,4,2,2,0
13,818.34,4,13,2,2,1,1
14,2134.8,10,19,3,2,2,0
15,2768.124,6,19,3,2,2,2
16,711.6,5,13,2,2,1,1
17,462.54,5,13,1,1,1,1
18,2739.66,6,19,3,2,2,2
19,1174.14,3,9,3,2,1,1
20,2490.6,19,21,5,3,4,0
21,2768.124,6,19,3,2,2,2
22,747.18,7,15,2,2,1,1
23,1668.702,4,12,3,2,2,0
24,3664.74,19,19,3,2,3,2
25,1779.0,10,12,4,2,2,0
26,3664.74,19,19,3,2,3,2
27,3059.88,21,24,4,2,3,2
28,533.7,3,4,1,1,1,1
29,853.92,6,7,2,1,1,1
30,1732.746,8,12,4,2,2,0
31,1245.3,10,12,3,0,0,1
32,2134.8,10,19,3,2,2,0
33,1206.162,7,7,2,2,1,1
34,861.036,5,12,2,2,1,1
35,462.54,3,4,1,1,1,1
36,434.076,5,12,2,2,1,1
37,768.528,4,4,3,2,2,1
38,3735.9,19,19,3,2,3,2
39,889.5,6,7,3,2,1,1
40,3063.438,21,24,5,2,4,2
41,925.08,10,14,2,1,1,1
42,1174.14,2,14,3,2,2,1
43,1352.04,1,4,4,2,2,0
44,1771.884,7,15,4,2,2,0
45,1601.1,6,7,4,2,2,0
46,1487.244,2,6,2,2,2,0
47,2277.12,2,25,3,2,2,0
48,3735.9,19,19,3,2,3,2
49,711.6,4,7,2,1,1,1
50,2241.54,7,13,4,2,2,0
51,1494.36,1,5,2,2,2,0
52,711.6,2,3,2,2,1,1
53,889.5,2,6,2,2,1,1
54,4643.19,1,6,5,4,4,2
55,2191.728,2,7,3,2,2,0
56,640.44,5,7,1,1,1,1
57,1067.4,12,12,3,2,2,1
58,640.44,2,6,2,2,1,1
59,1362.714,1,7,3,2,2,0
60,604.86,6,10,2,1,1,1
61,889.5,2,4,4,1,1,1
62,1423.2,5,7,3,2,2,0
63,1184.814,2,9,3,2,2,1
64,391.38,5,7,1,1,1,1
65,426.96,5,13,1,1,1,1
66,1067.4,4,5,3,2,1,1
67,533.7,2,7,2,1,1,1
68,462.54,6,14,1,1,1,1
69,1270.206,6,8,3,2,2,1
70,889.5,8,12,2,1,1,1
71,1284.438,6,12,3,2,2,1
72,1892.856,2,7,4,2,3,0
73,996.24,2,4,3,2,1,1
74,711.6,4,7,2,2,1,1
75,1754.094,3,7,3,2,2,0
76,2063.64,7,24,3,2,1,0
77,1522.824,5,12,4,2,2,0
78,1540.614,6,14,4,2,2,0
79,914.406,2,4,2,2,1,1
80,1558.404,5,7,4,2,2,0
81,772.086,6,7,2,1,1,1
82,711.6,8,9,2,2,1,1
83,747.18,5,9,2,2,2,1
84,1227.51,5,12,3,1,2,1
85,1451.664,2,5,3,3,2,0
86,3255.57,4,7,4,2,4,2
87,1779.0,7,12,4,2,2,0
88,1892.856,2,7,4,2,3,0
89,2312.7,7,15,4,2,2,0
90,1992.48,5,12,3,2,2,0
91,2063.64,5,7,4,2,2,0
92,1529.94,2,7,2,2,2,0
93,2145.474,5,6,4,2,2,0
94,2170.38,5,7,4,2,2,0
95,1771.884,4,7,4,2,2,0
96,1956.9,6,17,4,2,2,0
